simulationID,dynamic,simulation,vrest,slope,pqif,seed,mean,std_pop,std_sample,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations_1_0.25_21,oscillations,1,-8.5,14.44,0.25,21,0.000841469635702706,0.4536726338496986,0.453691626696455,28056,11944,0.70
oscillations_1_0.25_22,oscillations,1,-8.5,14.44,0.25,22,-0.0010360704098225633,0.4439349110892645,0.44395351184393245,28066,11934,0.70
oscillations_1_0.25_23,oscillations,1,-8.5,14.44,0.25,23,0.0009107936482593433,0.44549379525063426,0.4455124581942444,28064,11936,0.70
oscillations_1_0.25_24,oscillations,1,-8.5,14.44,0.25,24,0.00023865444453639967,0.4591193335844516,0.4591385608949521,28060,11940,0.70
oscillations_1_0.25_25,oscillations,1,-8.5,14.44,0.25,25,-0.00011385305439105843,0.4261203662278806,0.4261382190618004,28065,11935,0.70
oscillations_1_0.25_26,oscillations,1,-8.5,14.44,0.25,26,-0.00036263974956547506,0.45074091562420987,0.4507598031314202,28067,11933,0.70
oscillations_1_0.25_27,oscillations,1,-8.5,14.44,0.25,27,0.0010862194568701496,0.45670520934972475,0.4567243243527403,28053,11947,0.70
oscillations_1_0.25_28,oscillations,1,-8.5,14.44,0.25,28,0.0012542958148658457,0.4468848668172323,0.4469035754964868,28056,11944,0.70
oscillations_1_0.25_29,oscillations,1,-8.5,14.44,0.25,29,-0.0008187091846002393,0.43072158248825154,0.4307396220494384,28061,11939,0.70
oscillations_1_0.25_30,oscillations,1,-8.5,14.44,0.25,30,-0.00109525895590511,0.4331827559065154,0.43320089702744413,28060,11940,0.70
oscillations_1_0.25_31,oscillations,1,-8.5,14.44,0.25,31,-0.000539365105132807,0.4368981324610088,0.43691643530898655,28064,11936,0.70
oscillations_1_0.25_32,oscillations,1,-8.5,14.44,0.25,32,0.00019329248839838865,0.4245431290377951,0.4245608904907487,28048,11952,0.70
oscillations_1_0.25_33,oscillations,1,-8.5,14.44,0.25,33,-0.001060367027795148,0.4317086191624462,0.43172670006288605,28061,11939,0.70
oscillations_1_0.25_34,oscillations,1,-8.5,14.44,0.25,34,0.001671246295827012,0.454998386487653,0.45501744760437396,28064,11936,0.70
oscillations_1_0.25_35,oscillations,1,-8.5,14.44,0.25,35,-0.0008033374504440162,0.44562318419751146,0.4456418431814701,28058,11942,0.70
oscillations_1_0.25_36,oscillations,1,-8.5,14.44,0.25,36,-0.0022964504470133797,0.43581198800055543,0.43583024993724767,28067,11933,0.70
oscillations_1_0.25_37,oscillations,1,-8.5,14.44,0.25,37,-0.0004150097409775836,0.4425414996057403,0.4425600280028096,28057,11943,0.70
oscillations_1_0.25_38,oscillations,1,-8.5,14.44,0.25,38,0.0031845339360794442,0.435025864423974,0.4350440918919569,28066,11934,0.70
oscillations_1_0.25_39,oscillations,1,-8.5,14.44,0.25,39,-0.0008204469587789357,0.44627962796988246,0.44629831287549765,28057,11943,0.70
oscillations_1_0.25_40,oscillations,1,-8.5,14.44,0.25,40,-0.0006919590132745741,0.43403749654989443,0.43405567042184,28058,11942,0.70
oscillations_1_0.25_41,oscillations,1,-8.5,14.44,0.25,41,-0.00151167515933632,0.4167419790004633,0.41675944476937776,28069,11931,0.70
oscillations_1_0.25_42,oscillations,1,-8.5,14.44,0.25,42,0.00017108731798513995,0.4680614540593705,0.46808106078067174,28063,11937,0.70
oscillations_1_0.25_43,oscillations,1,-8.5,14.44,0.25,43,0.000554091649351073,0.44880575602528844,0.44882456244303126,28067,11933,0.70
oscillations_1_0.25_44,oscillations,1,-8.5,14.44,0.25,44,-0.0008600727703749288,0.4045350821796275,0.40455201506434557,28054,11946,0.70
oscillations_1_0.25_45,oscillations,1,-8.5,14.44,0.25,45,-0.000243778204538783,0.43204759863226155,0.43206568615445284,28056,11944,0.70
oscillations_1_0.25_46,oscillations,1,-8.5,14.44,0.25,46,0.0007662838655603585,0.46062613141399394,0.4606454105238241,28053,11947,0.70
oscillations_1_0.25_47,oscillations,1,-8.5,14.44,0.25,47,-0.00012806291752057167,0.44374061067891635,0.44375918305982553,28053,11947,0.70
oscillations_1_0.25_48,oscillations,1,-8.5,14.44,0.25,48,-0.0020394018134781665,0.44107727698436977,0.4410957409849214,28055,11945,0.70
oscillations_1_0.25_49,oscillations,1,-8.5,14.44,0.25,49,-0.0012296333801314016,0.4322097128443174,0.43222780109529707,28052,11948,0.70
oscillations_1_0.5_0,oscillations,1,-8.5,14.44,0.5,0,0.0006994763865384296,0.46943916919541395,0.4694588319807875,28062,11938,0.70
oscillations_1_0.5_1,oscillations,1,-8.5,14.44,0.5,1,-0.0001358215543029846,0.47181473320826733,0.4718344971514411,28063,11937,0.70
oscillations_1_0.5_2,oscillations,1,-8.5,14.44,0.5,2,0.001303625078631507,0.45353472049156657,0.45355372984759024,28070,11930,0.70
oscillations_1_0.5_3,oscillations,1,-8.5,14.44,0.5,3,0.0018519321673390646,0.4691741029198479,0.46919375460273655,28062,11938,0.70
oscillations_1_0.5_4,oscillations,1,-8.5,14.44,0.5,4,0.0006196445685330359,0.4941887918182631,0.49420950166811267,28068,11932,0.70
oscillations_1_0.5_5,oscillations,1,-8.5,14.44,0.5,5,-0.0014319978870985727,0.4652894596256817,0.46530895676410194,28067,11933,0.70
oscillations_1_0.5_6,oscillations,1,-8.5,14.44,0.5,6,-0.0006544564519121075,0.46882027678695737,0.4688399054280004,28057,11943,0.70
oscillations_1_0.5_7,oscillations,1,-8.5,14.44,0.5,7,-0.0013245021924580633,0.4632221984336405,0.46324159431759887,28058,11942,0.70
oscillations_1_0.5_8,oscillations,1,-8.5,14.44,0.5,8,-0.00046543790513168913,0.46955032228815247,0.46956998643466474,28060,11940,0.70
oscillations_1_0.5_9,oscillations,1,-8.5,14.44,0.5,9,0.00017347055739527547,0.4587450057986554,0.45876421099849635,28056,11944,0.70
oscillations_1_0.5_10,oscillations,1,-8.5,14.44,0.5,10,-4.388733148227319e-05,0.44173189902876064,0.4417503888845285,28054,11946,0.70
oscillations_1_0.5_11,oscillations,1,-8.5,14.44,0.5,11,0.00023913467786576838,0.4773957149138312,0.47741571766727736,28066,11934,0.70
oscillations_1_0.5_12,oscillations,1,-8.5,14.44,0.5,12,0.0008035967084733456,0.4754653193002243,0.47548521949147715,28053,11947,0.70
oscillations_1_0.5_13,oscillations,1,-8.5,14.44,0.5,13,-0.0006389664133585459,0.4576300655861231,0.457649233738997,28062,11938,0.70
oscillations_1_0.5_14,oscillations,1,-8.5,14.44,0.5,14,0.0009464110507966226,0.4502238932817208,0.4502427385923455,28054,11946,0.70
oscillations_1_0.5_15,oscillations,1,-8.5,14.44,0.5,15,-0.0001062432894992433,0.4647029003230617,0.46472235657713973,28057,11943,0.70
oscillations_1_0.5_16,oscillations,1,-8.5,14.44,0.5,16,-0.001969145056308786,0.46370650273961045,0.4637259205283059,28059,11941,0.70
oscillations_1_0.5_17,oscillations,1,-8.5,14.44,0.5,17,-0.0013047174416492414,0.46902911337483294,0.4690487820521475,28076,11924,0.70
oscillations_1_0.5_18,oscillations,1,-8.5,14.44,0.5,18,0.00022710159025740326,0.4456107138481632,0.44562937230996763,28058,11942,0.70
oscillations_1_0.5_19,oscillations,1,-8.5,14.44,0.5,19,-0.0009753283299269731,0.4683841958652911,0.46840379968222406,28053,11947,0.70
oscillations_1_0.5_20,oscillations,1,-8.5,14.44,0.5,20,0.00015787069914135256,0.46245682054735293,0.4624761778994699,28054,11946,0.70
oscillations_1_0.5_21,oscillations,1,-8.5,14.44,0.5,21,0.0002277400963999145,0.47182724992133485,0.4718470028047681,28056,11944,0.70
oscillations_1_0.5_22,oscillations,1,-8.5,14.44,0.5,22,-0.0005820460157759044,0.47518467643811874,0.47520458654964104,28066,11934,0.70
oscillations_1_0.5_23,oscillations,1,-8.5,14.44,0.5,23,0.001550597804662072,0.46712406758035074,0.46714363667474695,28064,11936,0.70
oscillations_1_0.5_24,oscillations,1,-8.5,14.44,0.5,24,0.00027252949401805626,0.46667529115583406,0.4666948348998448,28060,11940,0.70
oscillations_1_0.5_25,oscillations,1,-8.5,14.44,0.5,25,0.0004390167509449264,0.44694540958784185,0.44696413491242376,28065,11935,0.70
oscillations_1_0.5_26,oscillations,1,-8.5,14.44,0.5,26,-0.0006080128002001299,0.4671213971771601,0.46714097107970914,28067,11933,0.70
oscillations_1_0.5_27,oscillations,1,-8.5,14.44,0.5,27,0.0009728852276560708,0.4791784066424978,0.47919846224182194,28053,11947,0.70
oscillations_1_0.5_28,oscillations,1,-8.5,14.44,0.5,28,0.00034194264654776083,0.47806873902611996,0.47808875320732,28056,11944,0.70
oscillations_1_0.5_29,oscillations,1,-8.5,14.44,0.5,29,-0.00043092020489917326,0.4546031388238537,0.45462217859681137,28061,11939,0.70
oscillations_1_0.5_30,oscillations,1,-8.5,14.44,0.5,30,-0.0023492868683848,0.4689672630850566,0.46898690281382055,28060,11940,0.70
oscillations_1_0.5_31,oscillations,1,-8.5,14.44,0.5,31,-6.295849630032484e-05,0.4598699535723538,0.45988921877223543,28064,11936,0.70
