dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all
oscillations,0.25,20,1,-8.5,14.44,q3,"(150, 50)",-0.000659801067760941,0.06346179199616712,1.0702963184834689e-19,0.06368479752656096
oscillations,0.25,20,1,-8.5,14.44,q4,"(150, 150)",0.00022249334723063662,0.0637871997287352,1.0702963184834689e-19,0.06368479752656096
oscillations,0.25,21,1,-8.5,14.44,q1,"(50, 50)",0.000549959035784271,0.06281530105911369,-1.4400382327773997e-19,0.06363664087587032
oscillations,0.25,21,1,-8.5,14.44,q2,"(50, 150)",-0.0001807182463486236,0.06394479709355094,-1.4400382327773997e-19,0.06363664087587032
oscillations,0.25,21,1,-8.5,14.44,q3,"(150, 50)",0.0011887279275438383,0.06368733173660837,-1.4400382327773997e-19,0.06363664087587032
oscillations,0.25,21,1,-8.5,14.44,q4,"(150, 150)",-0.00040897094114837563,0.06359990539956963,-1.4400382327773997e-19,0.06363664087587032
oscillations,0.25,22,1,-8.5,14.44,q1,"(50, 50)",-0.0012630502786297978,0.06550308837336966,1.5351277890149237e-19,0.06411683192648968
oscillations,0.25,22,1,-8.5,14.44,q2,"(50, 150)",0.00040907575355438963,0.06344076242053019,1.5351277890149237e-19,0.06411683192648968
oscillations,0.25,22,1,-8.5,14.44,q3,"(150, 50)",-0.0007337909083189071,0.06512049940417292,1.5351277890149237e-19,0.06411683192648968
oscillations,0.25,22,1,-8.5,14.44,q4,"(150, 150)",0.00024825469729178334,0.06384117052173978,1.5351277890149237e-19,0.06411683192648968
oscillations,0.25,23,1,-8.5,14.44,q1,"(50, 50)",0.00022676317604709143,0.06681588008719755,7.905584074150817e-20,0.06344120103142065
oscillations,0.25,23,1,-8.5,14.44,q2,"(50, 150)",-6.890648841184753e-05,0.06361611890905343,7.905584074150817e-20,0.06344120103142065
oscillations,0.25,23,1,-8.5,14.44,q3,"(150, 50)",0.0002597987628975044,0.0627225770199571,7.905584074150817e-20,0.06344120103142065
oscillations,0.25,23,1,-8.5,14.44,q4,"(150, 150)",-9.003081847971445e-05,0.06326922092573352,7.905584074150817e-20,0.06344120103142065
oscillations,0.25,24,1,-8.5,14.44,q1,"(50, 50)",0.00046923710934500837,0.06465982450485205,4.349893261919718e-19,0.06401522515845867
oscillations,0.25,24,1,-8.5,14.44,q2,"(50, 150)",-0.00015295803299320427,0.06407377355729676,4.349893261919718e-19,0.06401522515845867
oscillations,0.25,24,1,-8.5,14.44,q3,"(150, 50)",-0.0005313896811471898,0.06443978064904697,4.349893261919718e-19,0.06401522515845867
oscillations,0.25,24,1,-8.5,14.44,q4,"(150, 150)",0.00018186897699867048,0.06377592838405383,4.349893261919718e-19,0.06401522515845867
oscillations,0.25,25,1,-8.5,14.44,q1,"(50, 50)",0.00047868129185333193,0.0656008187063895,-2.533800454023075e-19,0.06349798133866025
oscillations,0.25,25,1,-8.5,14.44,q2,"(50, 150)",-0.00016499505018922834,0.06376113424821887,-2.533800454023075e-19,0.06349798133866025
oscillations,0.25,25,1,-8.5,14.44,q3,"(150, 50)",-0.0008403158675617123,0.06272672333224212,-2.533800454023075e-19,0.06349798133866025
oscillations,0.25,25,1,-8.5,14.44,q4,"(150, 150)",0.00029123724804065905,0.06343034829910368,-2.533800454023075e-19,0.06349798133866025
oscillations,0.25,26,1,-8.5,14.44,q1,"(50, 50)",0.0006200054728600646,0.06405708759965684,-9.311608023359528e-20,0.0643629015057479
oscillations,0.25,26,1,-8.5,14.44,q2,"(50, 150)",-0.00020203050866086518,0.06573383813172347,-9.311608023359528e-20,0.0643629015057479
oscillations,0.25,26,1,-8.5,14.44,q3,"(150, 50)",0.0008384266971273049,0.06304602993327453,-9.311608023359528e-20,0.0643629015057479
oscillations,0.25,26,1,-8.5,14.44,q4,"(150, 150)",-0.0002680843456235483,0.06435528912431461,-9.311608023359528e-20,0.0643629015057479
oscillations,0.25,27,1,-8.5,14.44,q1,"(50, 50)",-0.002632857242382555,0.06402004216869822,-1.465349253150609e-19,0.06395960250637797
oscillations,0.25,27,1,-8.5,14.44,q2,"(50, 150)",0.000850919029394362,0.06390166905065091,-1.465349253150609e-19,0.06395960250637797
oscillations,0.25,27,1,-8.5,14.44,q3,"(150, 50)",0.0007589538565525818,0.06432727299400592,-1.465349253150609e-19,0.06395960250637797
oscillations,0.25,27,1,-8.5,14.44,q4,"(150, 150)",-0.00024727678716534327,0.06384252800540766,-1.465349253150609e-19,0.06395960250637797
oscillations,0.25,28,1,-8.5,14.44,q1,"(50, 50)",-0.0020352915809458334,0.06278011102277747,4.653072190382048e-21,0.06383308444245436
oscillations,0.25,28,1,-8.5,14.44,q2,"(50, 150)",0.0006918527136668392,0.06441705928638868,4.653072190382048e-21,0.06383308444245436
oscillations,0.25,28,1,-8.5,14.44,q3,"(150, 50)",-0.0010565060049857564,0.06270873471919995,4.653072190382048e-21,0.06383308444245436
oscillations,0.25,28,1,-8.5,14.44,q4,"(150, 150)",0.00035395472661068164,0.06412013979513875,4.653072190382048e-21,0.06383308444245436
oscillations,0.25,29,1,-8.5,14.44,q1,"(50, 50)",-0.0009032650962265955,0.06429856259021566,1.533713990816735e-19,0.06418507278420327
oscillations,0.25,29,1,-8.5,14.44,q2,"(50, 150)",0.0002988394628552839,0.06414918137858844,1.533713990816735e-19,0.06418507278420327
oscillations,0.25,29,1,-8.5,14.44,q3,"(150, 50)",0.0006174116293007282,0.0647079557949782,1.533713990816735e-19,0.06418507278420327
oscillations,0.25,29,1,-8.5,14.44,q4,"(150, 150)",-0.00021166273057515562,0.06400191622215122,1.533713990816735e-19,0.06418507278420327
oscillations,0.25,30,1,-8.5,14.44,q1,"(50, 50)",1.051417716797123e-05,0.06657411952970335,-1.7660948985162404e-19,0.06437346916364868
oscillations,0.25,30,1,-8.5,14.44,q2,"(50, 150)",-3.2100806397793183e-06,0.0644993183635134,-1.7660948985162404e-19,0.06437346916364868
