simulationID,dynamic,simulation,vrest,slope,pqif,seed,std,mean
oscillations_1_1_49,oscillations,1,,10.74,1.0,49,0.28461748243126495,0.0007791045101948704
oscillations_2_0_0,oscillations,2,-12.3,10.68,0.0,0,0.26988587785752555,7.949942857813303e-05
oscillations_2_0_1,oscillations,2,-12.3,10.68,0.0,1,0.26603109855481655,0.0001829815786666395
oscillations_2_0_2,oscillations,2,-12.3,10.68,0.0,2,0.26331202055627617,3.848431658764155e-05
oscillations_2_0_3,oscillations,2,-12.3,10.68,0.0,3,0.25882771537505606,0.0002867581900139175
oscillations_2_0_4,oscillations,2,-12.3,10.68,0.0,4,0.2676350676267542,-7.15255722484239e-05
oscillations_2_0_5,oscillations,2,-12.3,10.68,0.0,5,0.2622170137302561,-5.431143466340095e-05
oscillations_2_0_6,oscillations,2,-12.3,10.68,0.0,6,0.2627672562426296,-1.4538302380655842e-05
oscillations_2_0_7,oscillations,2,-12.3,10.68,0.0,7,0.2607784033812566,1.591806115480734e-05
oscillations_2_0_8,oscillations,2,-12.3,10.68,0.0,8,0.26074401727225,-7.234964209650893e-05
oscillations_2_0_9,oscillations,2,-12.3,10.68,0.0,9,0.27055732610800065,0.0001634418151514623
