dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all,mean_all_filtered,std_all_filtered
sequences,0.75,35,10,-12.3,10.68,q4,"(50, 50)",0.06323578733921488,0.21050387384703373,0.01897941622791135,0.20680560187626512,0.06363059669067589,0.3748935137981207
sequences,0.75,36,10,-12.3,10.68,q1,"(150, 150)",0.010450866010082235,0.2013535189048731,0.019517013997033154,0.20113442711080914,0.06539458534774051,0.3640747069626377
sequences,0.75,36,10,-12.3,10.68,q2,"(150, 50)",0.04766532629027021,0.2009294586650738,0.019517013997033154,0.20113442711080914,0.06539458534774051,0.3640747069626377
sequences,0.75,36,10,-12.3,10.68,q3,"(50, 150)",0.006636407339215854,0.19730452172236446,0.019517013997033154,0.20113442711080914,0.06539458534774051,0.3640747069626377
sequences,0.75,36,10,-12.3,10.68,q4,"(50, 50)",0.05530922897333212,0.19897500503538765,0.019517013997033154,0.20113442711080914,0.06539458534774051,0.3640747069626377
sequences,0.75,37,10,-12.3,10.68,q1,"(150, 150)",0.009293844469262912,0.19538865317719417,0.01941489531323375,0.19681124518269794,0.0650687735676037,0.35615740490758624
sequences,0.75,37,10,-12.3,10.68,q2,"(150, 50)",0.050683699737321224,0.1974496728996366,0.01941489531323375,0.19681124518269794,0.0650687735676037,0.35615740490758624
sequences,0.75,37,10,-12.3,10.68,q3,"(50, 150)",0.006286824019211362,0.19403442008290941,0.01941489531323375,0.19681124518269794,0.0650687735676037,0.35615740490758624
sequences,0.75,37,10,-12.3,10.68,q4,"(50, 50)",0.056082153518776066,0.20134616222556637,0.01941489531323375,0.19681124518269794,0.0650687735676037,0.35615740490758624
sequences,0.75,38,10,-12.3,10.68,q1,"(150, 150)",0.009697362857283663,0.195405050809786,0.019209720298147097,0.20035429852391198,0.06433261988662792,0.36267152053154694
sequences,0.75,38,10,-12.3,10.68,q2,"(150, 50)",0.04887255134726618,0.21259655969598804,0.019209720298147097,0.20035429852391198,0.06433261988662792,0.36267152053154694
sequences,0.75,38,10,-12.3,10.68,q3,"(50, 150)",0.005401104691951756,0.19591150065070762,0.019209720298147097,0.20035429852391198,0.06433261988662792,0.36267152053154694
sequences,0.75,38,10,-12.3,10.68,q4,"(50, 50)",0.05725829093714677,0.2059410880620464,0.019209720298147097,0.20035429852391198,0.06433261988662792,0.36267152053154694
sequences,0.75,39,10,-12.3,10.68,q1,"(150, 150)",0.009633674221395027,0.19032700450533274,0.01935909507256695,0.19407538643838007,0.06485458985784572,0.3510429734667607
sequences,0.75,39,10,-12.3,10.68,q2,"(150, 50)",0.04970367723750687,0.20127499941564883,0.01935909507256695,0.19407538643838007,0.06485458985784572,0.3510429734667607
sequences,0.75,39,10,-12.3,10.68,q3,"(50, 150)",0.00500109460351765,0.18907836747126344,0.01935909507256695,0.19407538643838007,0.06485458985784572,0.3510429734667607
sequences,0.75,39,10,-12.3,10.68,q4,"(50, 50)",0.058928137645442316,0.20503708903029733,0.01935909507256695,0.19407538643838007,0.06485458985784572,0.3510429734667607
sequences,0.75,40,10,-12.3,10.68,q1,"(150, 150)",0.0104010441747387,0.1983734898599851,0.019298596439440593,0.19834070034030332,0.06466274565066375,0.3589954945816984
sequences,0.75,40,10,-12.3,10.68,q2,"(150, 50)",0.047081695463912,0.19580549497071012,0.019298596439440593,0.19834070034030332,0.06466274565066375,0.3589954945816984
sequences,0.75,40,10,-12.3,10.68,q3,"(50, 150)",0.006009725929400028,0.19575686190106198,0.019298596439440593,0.19834070034030332,0.06466274565066375,0.3589954945816984
sequences,0.75,40,10,-12.3,10.68,q4,"(50, 50)",0.05589388127846512,0.20094114046837463,0.019298596439440593,0.19834070034030332,0.06466274565066375,0.3589954945816984
sequences,0.75,41,10,-12.3,10.68,q1,"(150, 150)",0.00997286375792356,0.19201378776731665,0.01919121741194033,0.19573175241716492,0.06424913763622474,0.35406767552568275
sequences,0.75,41,10,-12.3,10.68,q2,"(150, 50)",0.047932386352415604,0.20520498147485305,0.01919121741194033,0.19573175241716492,0.06424913763622474,0.35406767552568275
sequences,0.75,41,10,-12.3,10.68,q3,"(50, 150)",0.0063642657980157915,0.18988122008811884,0.01919121741194033,0.19573175241716492,0.06424913763622474,0.35406767552568275
sequences,0.75,41,10,-12.3,10.68,q4,"(50, 50)",0.054413748318439,0.2041616472837431,0.01919121741194033,0.19573175241716492,0.06424913763622474,0.35406767552568275
sequences,0.75,42,10,-12.3,10.68,q1,"(150, 150)",0.011055177648586465,0.20079155230112908,0.01962651176507377,0.1988874917709402,0.06577249251030086,0.35989716726931087
sequences,0.75,42,10,-12.3,10.68,q2,"(150, 50)",0.04631412021608488,0.19295635324604068,0.01962651176507377,0.1988874917709402,0.06577249251030086,0.35989716726931087
sequences,0.75,42,10,-12.3,10.68,q3,"(50, 150)",0.0072315815863193975,0.19749075396039678,0.01962651176507377,0.1988874917709402,0.06577249251030086,0.35989716726931087
sequences,0.75,42,10,-12.3,10.68,q4,"(50, 50)",0.053890483996689366,0.19211311367811387,0.01962651176507377,0.1988874917709402,0.06577249251030086,0.35989716726931087
sequences,0.75,43,10,-12.3,10.68,q1,"(150, 150)",0.012066342497301654,0.19635183611768156,0.01972228592621096,0.19658221032200454,0.06608237871070853,0.3555567952443141
sequences,0.75,43,10,-12.3,10.68,q2,"(150, 50)",0.04350987131527624,0.19633011426722402,0.01972228592621096,0.19658221032200454,0.06608237871070853,0.3555567952443141
sequences,0.75,43,10,-12.3,10.68,q3,"(50, 150)",0.008832420009057448,0.19609182340968245,0.01972228592621096,0.19658221032200454,0.06608237871070853,0.3555567952443141
