simulationID,dynamic,simulation,vrest,slope,pqif,seed,std,mean,mean_filtered,std_filtered,num_zero_weights,num_non_zero_weights,frac_zero_weights
sequences_12_0_31,sequences,12,-22.0,7.18,0.0,31,0.24998586698991151,0.02203467802219048,0.07378711769674501,0.453266218550847,28055,11945,0.70
sequences_12_0_32,sequences,12,-22.0,7.18,0.0,32,0.23772230154162044,0.021851342019075376,0.07320995734676396,0.4307847125524195,28061,11939,0.70
sequences_12_0_33,sequences,12,-22.0,7.18,0.0,33,0.2489399936666301,0.02202695273629014,0.07375507361891893,0.45131913198026696,28054,11946,0.70
sequences_12_0_34,sequences,12,-22.0,7.18,0.0,34,0.2438032617445143,0.021982274503773453,0.07364862887603134,0.44197353190840893,28061,11939,0.70
sequences_12_0_35,sequences,12,-22.0,7.18,0.0,35,0.25297755222886326,0.022196215548263443,0.07434050254798105,0.4587670135591384,28057,11943,0.70
sequences_12_0_36,sequences,12,-22.0,7.18,0.0,36,0.25018635290497054,0.021848355366322025,0.07331047853811601,0.4541519572251275,28079,11921,0.70
sequences_12_0_37,sequences,12,-22.0,7.18,0.0,37,0.24530246775508144,0.022117494159944295,0.07407064353631714,0.4446008136358203,28056,11944,0.70
sequences_12_0_38,sequences,12,-22.0,7.18,0.0,38,0.24000413732854545,0.021949904870686036,0.07354017881124394,0.434964001173679,28061,11939,0.70
sequences_12_0_39,sequences,12,-22.0,7.18,0.0,39,0.2553004179768929,0.022009515063504688,0.07380789759726589,0.46341052681174644,28072,11928,0.70
sequences_12_0_40,sequences,12,-22.0,7.18,0.0,40,0.24794834155265508,0.02188893011524492,0.07333589116423458,0.449668838486485,28061,11939,0.70
sequences_12_0_41,sequences,12,-22.0,7.18,0.0,41,0.25200807751479287,0.02190312098643198,0.07344495259093631,0.4573489457825612,28071,11929,0.70
sequences_12_0_42,sequences,12,-22.0,7.18,0.0,42,0.25443163213860315,0.022026087619848016,0.07375835117571541,0.4614788540492002,28055,11945,0.70
sequences_12_0_43,sequences,12,-22.0,7.18,0.0,43,0.24549719842509057,0.021950073593434268,0.07352226961458472,0.4450620829734318,28058,11942,0.70
sequences_12_0_44,sequences,12,-22.0,7.18,0.0,44,0.24781841538210736,0.022132914970377327,0.07417818171890182,0.4494079465637701,28065,11935,0.70
sequences_12_0_45,sequences,12,-22.0,7.18,0.0,45,0.25081978352729206,0.022062396464474828,0.07384284650481074,0.4546845687237373,28049,11951,0.70
sequences_12_0_46,sequences,12,-22.0,7.18,0.0,46,0.24653255557164247,0.021905835295013068,0.07336794873989137,0.4469738054631979,28057,11943,0.70
sequences_12_0_47,sequences,12,-22.0,7.18,0.0,47,0.2580899421674276,0.022048069065640163,0.0738505076725512,0.4682814016412956,28058,11942,0.70
sequences_12_0_48,sequences,12,-22.0,7.18,0.0,48,0.2415365991462583,0.02205163839635853,0.07388721191609493,0.4377743761752562,28062,11938,0.70
sequences_12_0_49,sequences,12,-22.0,7.18,0.0,49,0.24956053260894423,0.022001606847777598,0.07378137775914687,0.4528071074664124,28072,11928,0.70
sequences_12_0.25_0,sequences,12,-22.0,7.18,0.25,0,0.21827959399130756,0.022404695731789742,0.07512681945440436,0.3947206217400215,28071,11929,0.70
sequences_12_0.25_1,sequences,12,-22.0,7.18,0.25,1,0.23464787729775446,0.02236243162882106,0.07485959202885951,0.42471815630432874,28051,11949,0.70
sequences_12_0.25_2,sequences,12,-22.0,7.18,0.25,2,0.2324181887527637,0.02226577957934818,0.07457348933885348,0.42073663596845345,28057,11943,0.70
sequences_12_0.25_3,sequences,12,-22.0,7.18,0.25,3,0.22536698152254564,0.02239865648075574,0.07510027319616343,0.4078435960420426,28070,11930,0.70
sequences_12_0.25_4,sequences,12,-22.0,7.18,0.25,4,0.23641168400587614,0.022325168159058183,0.07484760090204738,0.4283081435913642,28069,11931,0.70
sequences_12_0.25_5,sequences,12,-22.0,7.18,0.25,5,0.23323479739742023,0.022352939927234916,0.07489049309736132,0.42227968674478356,28061,11939,0.70
sequences_12_0.25_6,sequences,12,-22.0,7.18,0.25,6,0.2312582546085164,0.022388070335952352,0.07507736531171144,0.41879377378225263,28072,11928,0.70
