dyn,pqif,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights
sequences,0.25,45,10,-12.3,10.68,q4,"(150, 150)",6717,0.08275880065273067,0.3276121609279129,0.05999151808861234,0.38390514126775166,28064,11936,0.70
sequences,0.25,46,10,-12.3,10.68,q1,"(50, 50)",740,-0.020458724390714732,0.4506915439219636,0.05988430886643376,0.355996432836104,28061,11939,0.70
sequences,0.25,46,10,-12.3,10.68,q2,"(50, 150)",2243,0.09030036082008651,0.33220476475242183,0.05988430886643376,0.355996432836104,28061,11939,0.70
sequences,0.25,46,10,-12.3,10.68,q3,"(150, 50)",2231,-0.0047616515134878065,0.427490755939813,0.05988430886643376,0.355996432836104,28061,11939,0.70
sequences,0.25,46,10,-12.3,10.68,q4,"(150, 150)",6725,0.08002643194239685,0.31999235194713543,0.05988430886643376,0.355996432836104,28061,11939,0.70
sequences,0.25,47,10,-12.3,10.68,q1,"(50, 50)",721,-0.007337209815789878,0.49546708050309335,0.061489473176484746,0.3566706271756577,28075,11925,0.70
sequences,0.25,47,10,-12.3,10.68,q2,"(50, 150)",2221,0.08874936151353605,0.31835602841572874,0.061489473176484746,0.3566706271756577,28075,11925,0.70
sequences,0.25,47,10,-12.3,10.68,q3,"(150, 50)",2251,-6.518664662355302e-05,0.464182341915228,0.061489473176484746,0.3566706271756577,28075,11925,0.70
sequences,0.25,47,10,-12.3,10.68,q4,"(150, 150)",6732,0.08044956909191195,0.30197970744626806,0.061489473176484746,0.3566706271756577,28075,11925,0.70
sequences,0.25,48,10,-12.3,10.68,q1,"(50, 50)",740,0.0018187332607982533,0.5042524700819958,0.06082106429161475,0.36017583576163326,28070,11930,0.70
sequences,0.25,48,10,-12.3,10.68,q2,"(50, 150)",2268,0.08378865000298213,0.3106555601731908,0.06082106429161475,0.36017583576163326,28070,11930,0.70
sequences,0.25,48,10,-12.3,10.68,q3,"(150, 50)",2216,0.0027333852092139063,0.4902473301920324,0.06082106429161475,0.36017583576163326,28070,11930,0.70
sequences,0.25,48,10,-12.3,10.68,q4,"(150, 150)",6706,0.07875925955198206,0.29776844213129866,0.06082106429161475,0.36017583576163326,28070,11930,0.70
sequences,0.25,49,10,-12.3,10.68,q1,"(50, 50)",724,-0.014690097940944138,0.49017980632836833,0.060952732477868025,0.36181998299452783,28064,11936,0.70
sequences,0.25,49,10,-12.3,10.68,q2,"(50, 150)",2294,0.08751032077589618,0.32629909690684705,0.060952732477868025,0.36181998299452783,28064,11936,0.70
sequences,0.25,49,10,-12.3,10.68,q3,"(150, 50)",2233,0.0016977706614210238,0.46192239403586244,0.060952732477868025,0.36181998299452783,28064,11936,0.70
sequences,0.25,49,10,-12.3,10.68,q4,"(150, 150)",6685,0.07982462947168546,0.31228619792599266,0.060952732477868025,0.36181998299452783,28064,11936,0.70
sequences,0.25,0,11,-17.0,8.65,q1,"(50, 50)",747,-0.0040176487214098906,0.5797553192568624,0.06860738698288173,0.39587929477699313,28073,11927,0.70
sequences,0.25,0,11,-17.0,8.65,q2,"(50, 150)",2258,0.09636423774152499,0.32356942233998054,0.06860738698288173,0.39587929477699313,28073,11927,0.70
sequences,0.25,0,11,-17.0,8.65,q3,"(150, 50)",2221,0.010899040104525472,0.5532115410770164,0.06860738698288173,0.39587929477699313,28073,11927,0.70
sequences,0.25,0,11,-17.0,8.65,q4,"(150, 150)",6701,0.08647728268127279,0.3201397491795804,0.06860738698288173,0.39587929477699313,28073,11927,0.70
sequences,0.25,1,11,-17.0,8.65,q1,"(50, 50)",781,-0.01990188111738355,0.5389459195825904,0.06759669929045986,0.3977499063073818,28062,11938,0.70
sequences,0.25,1,11,-17.0,8.65,q2,"(50, 150)",2282,0.09980185077375674,0.33954097749887846,0.06759669929045986,0.3977499063073818,28062,11938,0.70
sequences,0.25,1,11,-17.0,8.65,q3,"(150, 50)",2252,-0.020737052247566657,0.5240070600544818,0.06759669929045986,0.3977499063073818,28062,11938,0.70
sequences,0.25,1,11,-17.0,8.65,q4,"(150, 150)",6623,0.09685411195500433,0.3362364921868409,0.06759669929045986,0.3977499063073818,28062,11938,0.70
sequences,0.25,2,11,-17.0,8.65,q1,"(50, 50)",710,-0.031294634365216435,0.5437383630921279,0.06827385672908233,0.38628125076441794,28060,11940,0.70
sequences,0.25,2,11,-17.0,8.65,q2,"(50, 150)",2233,0.10638350911294295,0.3394191196794146,0.06827385672908233,0.38628125076441794,28060,11940,0.70
sequences,0.25,2,11,-17.0,8.65,q3,"(150, 50)",2346,-0.008434016281323366,0.5068810750958408,0.06827385672908233,0.38628125076441794,28060,11940,0.70
sequences,0.25,2,11,-17.0,8.65,q4,"(150, 150)",6651,0.0931650678230837,0.3205671621950973,0.06827385672908233,0.38628125076441794,28060,11940,0.70
sequences,0.25,3,11,-17.0,8.65,q1,"(50, 50)",771,-0.016531252637541412,0.583312383011572,0.06820587264445421,0.4011593283350789,28055,11945,0.70
sequences,0.25,3,11,-17.0,8.65,q2,"(50, 150)",2276,0.09944030403490167,0.3321395965575016,0.06820587264445421,0.4011593283350789,28055,11945,0.70
sequences,0.25,3,11,-17.0,8.65,q3,"(150, 50)",2264,-0.0008917956020541171,0.5551537012337083,0.06820587264445421,0.4011593283350789,28055,11945,0.70
sequences,0.25,3,11,-17.0,8.65,q4,"(150, 150)",6634,0.09091914949972328,0.3223030858771007,0.06820587264445421,0.4011593283350789,28055,11945,0.70
sequences,0.25,4,11,-17.0,8.65,q1,"(50, 50)",740,0.024355173192041397,0.5404203044473506,0.06976765312782844,0.37788277945358734,28063,11937,0.70
sequences,0.25,4,11,-17.0,8.65,q2,"(50, 150)",2242,0.0891388372845192,0.32634047156327867,0.06976765312782844,0.37788277945358734,28063,11937,0.70
sequences,0.25,4,11,-17.0,8.65,q3,"(150, 50)",2317,0.0320227711501947,0.5198118267679296,0.06976765312782844,0.37788277945358734,28063,11937,0.70
sequences,0.25,4,11,-17.0,8.65,q4,"(150, 150)",6638,0.08146243044258576,0.3048814885217501,0.06976765312782844,0.37788277945358734,28063,11937,0.70
sequences,0.25,5,11,-17.0,8.65,q1,"(50, 50)",739,-0.045482151838051134,0.5176890883452364,0.0676258941166744,0.3908144263647073,28063,11937,0.70
sequences,0.25,5,11,-17.0,8.65,q2,"(50, 150)",2176,0.11255383801000853,0.3554420190692899,0.0676258941166744,0.3908144263647073,28063,11937,0.70
sequences,0.25,5,11,-17.0,8.65,q3,"(150, 50)",2267,-0.0157261487183472,0.49396575724732894,0.0676258941166744,0.3908144263647073,28063,11937,0.70
sequences,0.25,5,11,-17.0,8.65,q4,"(150, 150)",6755,0.09350046423594029,0.33607859939477774,0.0676258941166744,0.3908144263647073,28063,11937,0.70
sequences,0.25,6,11,-17.0,8.65,q1,"(50, 50)",687,-0.007012996003749377,0.5770000565305706,0.06892377829174369,0.3893212026659333,28067,11933,0.70
sequences,0.25,6,11,-17.0,8.65,q2,"(50, 150)",2286,0.0967266334232858,0.32812461551145633,0.06892377829174369,0.3893212026659333,28067,11933,0.70
sequences,0.25,6,11,-17.0,8.65,q3,"(150, 50)",2172,0.0033141386956331105,0.545044145212374,0.06892377829174369,0.3893212026659333,28067,11933,0.70
sequences,0.25,6,11,-17.0,8.65,q4,"(150, 150)",6788,0.0882395376189462,0.31440492088629257,0.06892377829174369,0.3893212026659333,28067,11933,0.70
