dyn,pqif,cut,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations,0,0.25,21,1,-8.5,14.44,q1,"(50, 50)",763,0.005668299589773038,0.42128963001066433,0.00011038298867878999,0.4083244432620767,28057,11943,0.70
oscillations,0,0.25,21,1,-8.5,14.44,q2,"(50, 150)",2201,-0.003087340476403371,0.42782143285509716,0.00011038298867878999,0.4083244432620767,28057,11943,0.70
oscillations,0,0.25,21,1,-8.5,14.44,q3,"(150, 50)",2278,0.006951256031879189,0.38240691099782204,0.00011038298867878999,0.4083244432620767,28057,11943,0.70
oscillations,0,0.25,21,1,-8.5,14.44,q4,"(150, 150)",6701,-0.0017976918975172358,0.4087663318116203,0.00011038298867878999,0.4083244432620767,28057,11943,0.70
oscillations,0,0.25,22,1,-8.5,14.44,q1,"(50, 50)",734,-0.011791971270660688,0.5275382992808689,-9.678452157489294e-05,0.45658871670279044,28063,11937,0.70
oscillations,0,0.25,22,1,-8.5,14.44,q2,"(50, 150)",2265,0.0020066206830114345,0.4779347907800657,-9.678452157489294e-05,0.45658871670279044,28063,11937,0.70
oscillations,0,0.25,22,1,-8.5,14.44,q3,"(150, 50)",2205,0.008402561342737265,0.4576763935448934,-9.678452157489294e-05,0.45658871670279044,28063,11937,0.70
oscillations,0,0.25,22,1,-8.5,14.44,q4,"(150, 150)",6733,-0.0023128848253573617,0.44020461563233626,-9.678452157489294e-05,0.45658871670279044,28063,11937,0.70
oscillations,0,0.25,23,1,-8.5,14.44,q1,"(50, 50)",734,0.015215372688347164,0.5015608825628425,-0.00026531317655096047,0.4601817967321702,28064,11936,0.70
oscillations,0,0.25,23,1,-8.5,14.44,q2,"(50, 150)",2231,-0.0060528430959528885,0.5042188573997772,-0.00026531317655096047,0.4601817967321702,28064,11936,0.70
oscillations,0,0.25,23,1,-8.5,14.44,q3,"(150, 50)",2218,0.012999944309355235,0.44026859072049646,-0.00026531317655096047,0.4601817967321702,28064,11936,0.70
oscillations,0,0.25,23,1,-8.5,14.44,q4,"(150, 150)",6753,-0.004392839502389767,0.446305347016139,-0.00026531317655096047,0.4601817967321702,28064,11936,0.70
oscillations,0,0.25,24,1,-8.5,14.44,q1,"(50, 50)",763,0.02538456137007141,0.4086228047599261,0.0010288518441727386,0.4168775973981293,28057,11943,0.70
oscillations,0,0.25,24,1,-8.5,14.44,q2,"(50, 150)",2290,-0.008659508219909217,0.45584637181733345,0.0010288518441727386,0.4168775973981293,28057,11943,0.70
oscillations,0,0.25,24,1,-8.5,14.44,q3,"(150, 50)",2288,0.0009782701416537305,0.3958941373093835,0.0010288518441727386,0.4168775973981293,28057,11943,0.70
oscillations,0,0.25,24,1,-8.5,14.44,q4,"(150, 150)",6602,0.0015921158723233703,0.4105935370215786,0.0010288518441727386,0.4168775973981293,28057,11943,0.70
oscillations,0,0.25,25,1,-8.5,14.44,q1,"(50, 50)",750,0.009699410290553464,0.4744908005035332,-0.00023782848678125163,0.4080016444420946,28070,11930,0.70
oscillations,0,0.25,25,1,-8.5,14.44,q2,"(50, 150)",2157,-0.0040446257626669795,0.42677081245408893,-0.00023782848678125163,0.4080016444420946,28070,11930,0.70
oscillations,0,0.25,25,1,-8.5,14.44,q3,"(150, 50)",2281,-0.0002872117986355502,0.3930529819483536,-0.00023782848678125163,0.4080016444420946,28070,11930,0.70
oscillations,0,0.25,25,1,-8.5,14.44,q4,"(150, 150)",6742,-0.00010864189891056766,0.398699160454725,-0.00023782848678125163,0.4080016444420946,28070,11930,0.70
oscillations,0,0.25,26,1,-8.5,14.44,q1,"(50, 50)",765,-0.010847516389065387,0.49797683539758913,-0.000489375856259908,0.4273323677970715,28067,11933,0.70
oscillations,0,0.25,26,1,-8.5,14.44,q2,"(50, 150)",2253,0.003297854149481596,0.44066116617995105,-0.000489375856259908,0.4273323677970715,28067,11933,0.70
oscillations,0,0.25,26,1,-8.5,14.44,q3,"(150, 50)",2240,-0.006880683620330175,0.4197784007761308,-0.000489375856259908,0.4273323677970715,28067,11933,0.70
oscillations,0,0.25,26,1,-8.5,14.44,q4,"(150, 150)",6675,0.001564238779871626,0.41632764387201815,-0.000489375856259908,0.4273323677970715,28067,11933,0.70
oscillations,0,0.25,27,1,-8.5,14.44,q1,"(50, 50)",788,0.017730771756148216,0.43925645670443675,0.0002192512200278354,0.4288748604890083,28061,11939,0.70
oscillations,0,0.25,27,1,-8.5,14.44,q2,"(50, 150)",2275,-0.005057397660076166,0.46074343087427383,0.0002192512200278354,0.4288748604890083,28061,11939,0.70
oscillations,0,0.25,27,1,-8.5,14.44,q3,"(150, 50)",2233,0.0076593437733839705,0.4157002573080141,0.0002192512200278354,0.4288748604890083,28061,11939,0.70
oscillations,0,0.25,27,1,-8.5,14.44,q4,"(150, 150)",6643,-0.0025518504888191467,0.4205037610708585,0.0002192512200278354,0.4288748604890083,28061,11939,0.70
oscillations,0,0.25,28,1,-8.5,14.44,q1,"(50, 50)",719,-0.000983123906070754,0.49536775834183916,0.0006427783296863194,0.4411271305348751,28062,11938,0.70
oscillations,0,0.25,28,1,-8.5,14.44,q2,"(50, 150)",2306,0.0012774219514218351,0.45911511635440294,0.0006427783296863194,0.4411271305348751,28062,11938,0.70
oscillations,0,0.25,28,1,-8.5,14.44,q3,"(150, 50)",2285,0.015817296581009083,0.4429365501520406,0.0006427783296863194,0.4411271305348751,28062,11938,0.70
oscillations,0,0.25,28,1,-8.5,14.44,q4,"(150, 150)",6628,-0.00463305732035672,0.42753910160134967,0.0006427783296863194,0.4411271305348751,28062,11938,0.70
oscillations,0,0.25,29,1,-8.5,14.44,q1,"(50, 50)",753,-0.009598300055788742,0.48945460569306926,-7.984069683473187e-05,0.43459908489655463,28056,11944,0.70
oscillations,0,0.25,29,1,-8.5,14.44,q2,"(50, 150)",2187,0.0037513700272133518,0.46831684085945663,-7.984069683473187e-05,0.43459908489655463,28056,11944,0.70
oscillations,0,0.25,29,1,-8.5,14.44,q3,"(150, 50)",2309,0.003763090636587322,0.4480840212323421,-7.984069683473187e-05,0.43459908489655463,28056,11944,0.70
oscillations,0,0.25,29,1,-8.5,14.44,q4,"(150, 150)",6695,-0.0015861568140972137,0.4112210559246905,-7.984069683473187e-05,0.43459908489655463,28056,11944,0.70
oscillations,0,0.25,30,1,-8.5,14.44,q1,"(50, 50)",743,0.033698688024653596,0.4482975018895709,-0.00018002133660099509,0.43289800679737694,28056,11944,0.70
oscillations,0,0.25,30,1,-8.5,14.44,q2,"(50, 150)",2201,-0.011575975921318402,0.4811974803706278,-0.00018002133660099509,0.43289800679737694,28056,11944,0.70
