dyn,pqif,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights,mean_in_deg,mean_out_deg,tau_rec,tau_div,tau_con,tau_chn
oscillations,0.75,35,2,-12.3,10.68,q3,"(50, 150)",2232,0.010138250492611037,0.5298184680793334,0.00013990079652681297,0.5055088550475504,28061,11939,0.70,0.24648893333190103,0.09043850520929961,-0.03270977397660436,0.002108420262998171,-0.010912879071424329,0.005920239851524608
oscillations,0.75,35,2,-12.3,10.68,q4,"(50, 50)",771,-0.013364628317656007,0.5114864389710855,0.00013990079652681297,0.5055088550475504,28061,11939,0.70,0.24648893333190103,-0.2379100034332263,0.01409522718351927,-0.0004173888174197375,-0.008624521558055223,0.004678813928563239
oscillations,0.75,36,2,-12.3,10.68,q1,"(150, 150)",6672,-0.0039004907150207626,0.506098719554444,-0.0014336090308231047,0.5124216931479649,28070,11930,0.70,-0.016178635531974333,-0.43354618665288863,-0.07940264608846026,-0.00044245942559517225,-0.003995161744073442,0.0002908952428746001
oscillations,0.75,36,2,-12.3,10.68,q2,"(150, 50)",2288,0.010313495944415378,0.5153891486244384,-0.0014336090308231047,0.5124216931479649,28070,11930,0.70,-0.016178635531974333,0.9585794452042733,0.026467631110420612,0.0013231924225701006,-0.00376748850266352,-0.002923202854899315
oscillations,0.75,36,2,-12.3,10.68,q3,"(50, 150)",2249,-0.01734453265776557,0.5176304432509109,-0.0014336090308231047,0.5124216931479649,28070,11930,0.70,-0.2935232081584697,-0.43354618665288863,0.030017758144929647,-0.000856976366231645,0.007167566620973092,0.008981059761974126
oscillations,0.75,36,2,-12.3,10.68,q4,"(50, 50)",721,0.03374714776614602,0.5415119158857008,-0.0014336090308231047,0.5124216931479649,28070,11930,0.70,-0.2935232081584697,0.9585794452042733,-0.030712847940318904,-0.006524074413719895,-0.006164290536869577,0.013598459211357775
oscillations,0.75,37,2,-12.3,10.68,q1,"(150, 150)",6714,0.0004884174690557746,0.5129271208187699,0.0012368961861771394,0.5213361132496753,28054,11946,0.70,0.0653013194875988,-0.013166821227934828,-0.05013828622675975,-0.0001807607930622637,-0.002990448946513297,0.0010041368624389099
oscillations,0.75,37,2,-12.3,10.68,q2,"(150, 50)",2197,0.0029658457150201806,0.5164476111962586,0.0012368961861771394,0.5213361132496753,28054,11946,0.70,0.0653013194875988,0.3350197004852461,-0.007881915397683334,0.007737130036836333,0.0031994552977410193,-0.006353682027488854
oscillations,0.75,37,2,-12.3,10.68,q3,"(50, 150)",2297,-0.002287443653213188,0.5348244872210353,0.0012368961861771394,0.5213361132496753,28054,11946,0.70,0.0996152783386456,-0.013166821227934828,0.01607902776259651,-0.0014877247785259745,-0.003897397038248986,-0.0014443058198635023
oscillations,0.75,37,2,-12.3,10.68,q4,"(50, 50)",738,0.01386859348016663,0.5669784347941607,0.0012368961861771394,0.5213361132496753,28054,11946,0.70,0.0996152783386456,0.3350197004852461,-0.05962618155812205,-0.0004811675429565504,-0.005660821930574166,0.016328857768110213
oscillations,0.75,38,2,-12.3,10.68,q1,"(150, 150)",6680,-0.00682852555700526,0.49136238336456967,-0.0009919995442967968,0.5070734601502663,28069,11931,0.70,-0.09546992478057097,-0.2566356007064384,-0.059933433934333404,-0.0006080930846869725,-0.0029017673764892885,-0.0003984523888387498
oscillations,0.75,38,2,-12.3,10.68,q2,"(150, 50)",2239,0.013976803038726886,0.5370633251425333,-0.0009919995442967968,0.5070734601502663,28069,11931,0.70,-0.09546992478057097,0.5331958708592136,0.020266843361266707,0.000718326581918619,-0.007163430197704758,-0.00874968409865614
oscillations,0.75,38,2,-12.3,10.68,q3,"(50, 150)",2265,0.0031431393442955436,0.5172484012058882,-0.0009919995442967968,0.5070734601502663,28069,11931,0.70,0.049698843081611536,-0.2566356007064384,0.07362503439832553,-0.00044935941748939313,-0.003257165234277393,0.007948749791534933
oscillations,0.75,38,2,-12.3,10.68,q4,"(50, 50)",747,-0.006203839974228676,0.5204661238301148,-0.0009919995442967968,0.5070734601502663,28069,11931,0.70,0.049698843081611536,0.5331958708592136,-0.02833943741655323,0.0007186414425254733,-0.010845324187571441,-0.0005107773782045432
oscillations,0.75,39,2,-12.3,10.68,q1,"(150, 150)",6732,1.4301853933022154e-05,0.49346469621300076,-0.0008034555211680038,0.5103439610683009,28056,11944,0.70,-0.043459847481918557,-0.11356047972475336,-0.05162345266862212,-0.0008466373379122594,-0.004012148863281059,0.0003754353250106297
oscillations,0.75,39,2,-12.3,10.68,q2,"(150, 50)",2250,-0.0029401143124288365,0.4973327398302805,-0.0008034555211680038,0.5103439610683009,28056,11944,0.70,-0.043459847481918557,0.1487519842776473,0.008750415592427598,0.004076240476799773,-0.012678091155774932,-0.00019584855663141076
oscillations,0.75,39,2,-12.3,10.68,q3,"(50, 150)",2250,-0.007613489795284494,0.5559565028929846,-0.0008034555211680038,0.5103439610683009,28056,11944,0.70,-0.061549912450857114,-0.11356047972475336,0.0052257356036836166,-0.004169859467362276,-0.006059578408774526,0.0016038402738359232
oscillations,0.75,39,2,-12.3,10.68,q4,"(50, 50)",712,0.019737157888830414,0.5547965229156185,-0.0008034555211680038,0.5103439610683009,28056,11944,0.70,-0.061549912450857114,0.1487519842776473,-0.012882879359126359,-0.0005114660159938752,0.0004945662350724725,0.0035514394196123826
