experiment_id,pair_id,pre_cell_id,post_cell_id,psp_amplitude
2974,94047,16976,16977,-0.0002868826966537592
2974,94048,16976,16978,
2974,94072,16980,16974,
2974,94073,16980,16975,
2977,94103,16987,16988,-0.0002306942785484142
2977,94110,16988,16987,-0.0009320832532346678
2977,94115,16988,16993,-4.9323737959485365e-05
2978,94155,16994,16999,-0.000638220001196495
2978,94168,16997,16996,
2978,94174,16998,16997,
2978,94177,16999,16995,-0.0018348645760323237
2982,94269,17016,17021,-0.0009764147843364778
2982,94302,17021,17018,
2987,94406,17040,17038,-0.00015487594975007916
2998,94831,17112,17115,
2998,94855,17116,17110,
3003,95053,17149,17148,-0.00010059746501476428
3003,95058,17150,17144,
3009,95179,17176,17172,0.0017466664234798747
3009,95181,17176,17178,
3009,95182,17176,17179,0.005740240722422605
3009,95195,17179,17180,0.0002244705429432951
3009,95197,17180,17172,0.0024604475805381338
3011,95265,17190,17191,0.000858033501627347
3011,95270,17190,17196,0.0004634900302064773
3011,95286,17193,17194,0.0005779343504758949
3011,95294,17194,17196,0.00042089664660545546
3011,95304,17196,17191,0.0011385660720339857
3025,95649,17268,17271,0.0004692996423296289
3032,95820,17303,17305,0.00035262018410827896
3032,95821,17303,17306,0.0005166646011831528
3032,95840,17307,17304,2.7280904043143273e-05
3041,96048,17348,17347,0.0028885149423046918
3048,96221,17384,17385,0.0042361778784003965
3048,96235,17385,17384,-6.954283477905395e-05
3048,96288,17389,17383,0.002268408816374982
3049,96291,17394,17392,0.0004329471749534408
3049,96303,17395,17393,0.0003916961715630832
3049,96307,17396,17390,
3052,96428,17416,17413,0.0007825613105204679
3057,96499,17438,17434,
3056,96508,17432,17430,-0.001061020679163911
3057,96532,17440,17444,-0.0008149850830356574
3061,96590,17459,17463,0.0003160574369386094
3061,96660,17464,17459,9.360312926399502e-05
3064,96759,17480,17482,0.0007907421946212337
3064,96765,17481,17482,0.0005747495131817386
3064,96770,17482,17480,-0.00019140230457472787
3064,96771,17482,17481,-0.0008356821281050942
3065,96808,17488,17485,-0.00029899571403750765
3065,96812,17488,17490,-0.0005360179233411496
3065,96825,17490,17488,0.00020743870974042225
3068,96883,17505,17501,
3073,96944,17521,17528,
3075,96984,17529,17533,0.0003695709460737978
3075,97002,17533,17529,7.713933059600421e-05
3074,97032,17532,17541,0.00016625086483756983
3086,97380,17602,17603,-0.001011095209880459
3086,97384,17603,17602,
3089,97420,17615,17617,0.0005872413555625314
3089,97425,17615,17618,0.00017473030318863292
3089,97435,17615,17622,0.0006562392638957786
3087,97466,17610,17611,-0.00031530380956178725
