experiment_id,pre_cell_id,post_cell_id,has_synapse,pre_cell_class,post_cell_class,fi_slope_pre,fi_slope_post,psp_amplitude
858,5538,5535,0,in,in,-6.999999814714666e-14,1.1428570681202156e-14,
858,5538,5536,0,in,ex,-6.999999814714666e-14,7.142856364347337e-15,
858,5538,5539,0,in,,-6.999999814714666e-14,7.070942154251362e-30,
858,5539,5535,0,,in,7.070942154251362e-30,1.1428570681202156e-14,
858,5539,5536,0,,ex,7.070942154251362e-30,7.142856364347337e-15,
858,5539,5538,0,,in,7.070942154251362e-30,-6.999999814714666e-14,
862,5551,5552,0,ex,ex,3.902778383684815e-13,2.8749999895507786e-13,
862,5551,5553,0,ex,ex,3.902778383684815e-13,3.651485132811789e-13,
862,5551,5554,0,ex,ex,3.902778383684815e-13,4.4999999999999975e-13,
862,5552,5551,0,ex,ex,2.8749999895507786e-13,3.902778383684815e-13,
862,5552,5553,0,ex,ex,2.8749999895507786e-13,3.651485132811789e-13,
862,5552,5554,0,ex,ex,2.8749999895507786e-13,4.4999999999999975e-13,
862,5553,5551,0,ex,ex,3.651485132811789e-13,3.902778383684815e-13,
862,5553,5552,0,ex,ex,3.651485132811789e-13,2.8749999895507786e-13,
862,5553,5554,0,ex,ex,3.651485132811789e-13,4.4999999999999975e-13,
862,5554,5551,0,ex,ex,4.4999999999999975e-13,3.902778383684815e-13,
862,5554,5552,0,ex,ex,4.4999999999999975e-13,2.8749999895507786e-13,
862,5554,5553,0,ex,ex,4.4999999999999975e-13,3.651485132811789e-13,
865,5570,5573,0,in,in,-3.3006982710650115e-14,1.8999994970251953e-12,
865,5570,5574,0,in,in,-3.3006982710650115e-14,1.2000000000000013e-12,
865,5573,5570,0,in,in,1.8999994970251953e-12,-3.3006982710650115e-14,
865,5573,5574,0,in,in,1.8999994970251953e-12,1.2000000000000013e-12,
865,5574,5570,0,in,in,1.2000000000000013e-12,-3.3006982710650115e-14,
865,5574,5573,1,in,in,1.2000000000000013e-12,1.8999994970251953e-12,-0.0014515582447426666
875,5608,5610,0,in,in,1.4774774789828568e-14,8.688916827967505e-13,
875,5608,5611,0,in,in,1.4774774789828568e-14,9.606668407336217e-13,
875,5610,5608,0,in,in,8.688916827967505e-13,1.4774774789828568e-14,
875,5610,5611,0,in,in,8.688916827967505e-13,9.606668407336217e-13,
875,5611,5608,0,in,in,9.606668407336217e-13,1.4774774789828568e-14,
875,5611,5610,1,in,in,9.606668407336217e-13,8.688916827967505e-13,-0.00018315362644782637
899,5705,5719,0,ex,ex,0.0,3.580487783510291e-13,
898,5706,5707,0,in,in,-1.815149611234337e-14,1.249999943542473e-12,
898,5706,5709,0,in,in,-1.815149611234337e-14,1.43e-12,
898,5706,5710,0,in,in,-1.815149611234337e-14,2.2430969625605656e-14,
898,5706,5712,0,in,in,-1.815149611234337e-14,3.123934142430368e-14,
898,5706,5713,0,in,in,-1.815149611234337e-14,-1.1775166010657936e-13,
898,5707,5706,0,in,in,1.249999943542473e-12,-1.815149611234337e-14,
898,5707,5709,0,in,in,1.249999943542473e-12,1.43e-12,
898,5707,5710,0,in,in,1.249999943542473e-12,2.2430969625605656e-14,
898,5707,5712,0,in,in,1.249999943542473e-12,3.123934142430368e-14,
898,5707,5713,0,in,in,1.249999943542473e-12,-1.1775166010657936e-13,
898,5709,5706,0,in,in,1.43e-12,-1.815149611234337e-14,
898,5709,5707,0,in,in,1.43e-12,1.249999943542473e-12,
898,5709,5710,0,in,in,1.43e-12,2.2430969625605656e-14,
898,5709,5712,0,in,in,1.43e-12,3.123934142430368e-14,
898,5709,5713,0,in,in,1.43e-12,-1.1775166010657936e-13,
